MFN;Columna;Antes;Despues
031899;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031900;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031901;v7_Tipo_de_documento;manual<|>Libro electrónico;Manual<|>Libro electrónico
031906;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031907;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031908;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031909;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031911;v7_Tipo_de_documento;obra de referencia<|>Libro electrónico;Obra de referencia<|>Libro electrónico
031912;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031914;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031918;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031919;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031921;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031924;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031925;v7_Tipo_de_documento;manual<|>Libro electrónico;Manual<|>Libro electrónico
031926;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031927;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031929;v7_Tipo_de_documento;manual<|>Libro electrónico;Manual<|>Libro electrónico
031930;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031931;v7_Tipo_de_documento;manual<|>Libro electrónico;Manual<|>Libro electrónico
031934;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031937;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031939;v7_Tipo_de_documento;obra de referencia<|>Libro electrónico;Obra de referencia<|>Libro electrónico
031940;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031941;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031944;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031945;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031949;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031951;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031953;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031954;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031955;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031958;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031961;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031962;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031964;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031966;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031967;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031971;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031973;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031976;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031978;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031979;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031985;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031989;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031991;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031992;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031993;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031994;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031995;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031996;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032000;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032001;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032003;v7_Tipo_de_documento;obra de referencia<|>Libro electrónico;Obra de referencia<|>Libro electrónico
032004;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032005;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032006;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032008;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032010;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032011;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032012;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032016;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032020;v7_Tipo_de_documento;manual<|>Libro electrónico;Manual<|>Libro electrónico
032021;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032022;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032024;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032026;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032027;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032028;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032030;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032033;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032034;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032035;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032036;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032037;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032039;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032040;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032042;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032043;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032045;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032050;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032051;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032052;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032055;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032057;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032058;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032060;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032061;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032062;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032063;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032064;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032065;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032066;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032067;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032068;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032069;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032070;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032071;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032072;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032073;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032074;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032075;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032076;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032078;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032079;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032080;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032081;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032082;v7_Tipo_de_documento;obra de referencia<|>Libro electrónico;Obra de referencia<|>Libro electrónico
032084;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032085;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032087;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032088;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032089;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032090;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032091;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032092;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032094;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032097;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032098;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032103;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
032107;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032110;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032111;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032112;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032113;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032114;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032115;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032121;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
032122;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
